tag,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Compliance,63,Winter 2021,Summer 2026,16,Fall 2025,5,3.425,2021,6,0.825,1.19,Summer 2026,1,0.426,-3,-2.0,-0.399,0.648,1.815,False,True,0.851,0.47,1.928,0.551,Low-volume / mixed,96,65,-31
Privacy,12,Winter 2021,Summer 2026,8,Summer 2024,2,0.806,2021,3,0.413,0.595,Summer 2026,1,0.426,-1,-0.5,0.013,0.142,0.272,False,False,0.425,0.213,0.128,1.11,Low-volume / mixed,96,111,15
Radar,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Medical Devices,30,Winter 2021,Summer 2026,8,Summer 2021,12,3.069,2021,14,1.926,0.595,Summer 2026,1,0.426,-1,-6.0,-1.5,0.142,0.594,False,True,1.832,0.213,0.202,1.424,Spiky,96,30,-66
Location-based,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Electronics,10,Winter 2022,Fall 2026,7,Winter 2025,4,2.41,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.287,True,False,0.0,0.213,0.0,2.052,Spiky,96,231,135
Drug discovery,21,Winter 2021,Summer 2026,9,Winter 2024,3,1.21,2021,5,0.688,0.893,Summer 2026,1,0.426,-2,-1.5,-0.262,0.142,0.466,False,False,0.703,0.213,0.426,1.01,Low-volume / mixed,96,75,-21
AR,3,Winter 2021,Summer 2026,3,Winter 2025,1,0.602,2021,1,0.138,0.298,Summer 2026,1,0.426,0,0.5,0.288,0.142,0.083,False,False,0.149,0.213,0.0,2.181,Low-volume / mixed,96,185,89
APIs,8,Winter 2021,Summer 2026,7,Spring 2025,1,0.699,2021,3,0.413,0.595,Summer 2026,1,0.426,-1,-0.5,0.013,0.313,0.224,False,False,0.425,0.47,0.0,1.217,Low-volume / mixed,96,111,15
Airlines,3,Summer 2023,Summer 2026,3,Fall 2024,1,1.064,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.122,False,False,0.0,0.213,0.0,2.331,Low-volume / mixed,96,231,135
Alternative Fuels,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Architecture,5,Winter 2022,Summer 2026,4,Fall 2025,2,1.37,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.153,True,False,0.0,0.213,0.0,2.256,Low-volume / mixed,96,231,135
Skincare,2,Winter 2022,Summer 2026,2,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.042,False,False,0.0,0.213,0.0,2.745,Low-volume / mixed,96,231,135
Travel,21,Winter 2021,Summer 2026,10,Winter 2024,3,1.21,2021,5,0.688,0.893,Summer 2026,1,0.426,-2,-1.5,-0.262,0.142,0.527,False,False,0.703,0.213,0.557,0.877,Low-volume / mixed,96,75,-21
Unmanned Vehicle,2,Summer 2022,Summer 2026,2,Summer 2022,1,0.427,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.053,False,False,0.0,0.213,0.0,2.646,Low-volume / mixed,96,231,135
Video,44,Winter 2021,Summer 2026,12,Fall 2024,3,3.191,2021,8,1.1,1.19,Summer 2026,1,0.426,-3,-3.0,-0.674,0.142,1.265,False,False,1.107,0.213,1.2,0.824,Low-volume / mixed,96,51,-45
Vaccines,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Warehouse Management Tech,9,Winter 2021,Summer 2026,6,Winter 2021,2,0.595,2021,4,0.55,0.595,Summer 2026,1,0.426,-1,-1.0,-0.124,0.142,0.175,False,False,0.553,0.213,0.0,1.319,Low-volume / mixed,96,97,1
Virtual Reality,9,Winter 2021,Summer 2026,5,Winter 2022,4,1.005,2021,2,0.275,0.298,Summer 2026,1,0.426,0,0.0,0.151,0.142,0.177,False,False,0.277,0.213,0.0,1.766,Low-volume / mixed,96,143,47
Smart Waste Management,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Automotive,16,Winter 2022,Summer 2026,10,Fall 2024,2,2.128,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.31,0.505,True,False,0.0,0.213,0.395,1.184,Spiky,96,231,135
Telemedicine,17,Winter 2021,Winter 2023,4,Winter 2022,6,1.508,2021,10,1.376,1.488,Summer 2026,0,0.0,-5,-5.0,-1.376,0.0,0.29,False,True,1.383,0.0,0.0,1.911,Low-volume / mixed,146,42,-104
Sustainable Tourism,1,Winter 2022,Winter 2022,1,Winter 2022,1,0.251,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.016,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Sports Tech,8,Winter 2021,Fall 2025,5,Fall 2025,2,1.37,2021,2,0.275,0.595,Summer 2026,0,0.0,-2,-1.0,-0.275,0.0,0.239,False,False,0.297,0.0,0.0,1.677,Low-volume / mixed,146,143,-3
Speech Recognition,5,Summer 2021,Summer 2025,4,Summer 2025,1,0.602,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.11,True,False,0.128,0.0,0.0,1.827,Low-volume / mixed,146,185,39
Subscriptions,23,Winter 2021,Winter 2024,7,Winter 2021,9,2.679,2021,13,1.788,2.679,Summer 2026,0,0.0,-9,-6.5,-1.788,0.0,0.436,False,True,1.851,0.0,0.0,1.607,Spiky,146,32,-114
Sustainable Fashion,4,Winter 2021,Summer 2022,3,Summer 2022,2,0.855,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.088,False,False,0.277,0.0,0.0,2.477,Low-volume / mixed,146,143,-3
Solar Power,13,Summer 2021,Winter 2026,8,Summer 2022,2,0.855,2021,2,0.275,0.0,Summer 2026,0,0.0,0,-1.0,-0.275,0.168,0.298,True,False,0.256,0.0,0.202,1.068,Low-volume / mixed,146,143,-3
Scheduling,4,Winter 2021,Winter 2026,3,Winter 2021,2,0.595,2021,2,0.275,0.595,Summer 2026,0,0.0,-2,-1.0,-0.275,0.168,0.095,False,False,0.297,0.0,0.0,2.105,Low-volume / mixed,146,143,-3
Talent Acquisition,2,Summer 2021,Fall 2026,2,Summer 2021,1,0.256,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.016,False,False,0.128,0.0,0.0,3.873,Low-volume / mixed,146,185,39
Team Collaboration,6,Winter 2021,Spring 2025,5,Spring 2025,2,1.399,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.197,False,False,0.149,0.0,0.0,1.86,Low-volume / mixed,146,185,39
Smart Home Assistants,1,Fall 2025,Fall 2025,1,Fall 2025,1,0.685,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.043,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Social,22,Winter 2021,Fall 2026,11,Winter 2022,6,1.508,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.342,0.561,False,True,0.425,0.513,0.384,0.997,Low-volume / mixed,146,111,-35
Social Media,18,Winter 2021,Fall 2025,7,Fall 2024,3,3.191,2021,3,0.413,0.893,Summer 2026,0,0.0,-3,-1.5,-0.413,0.0,0.627,False,False,0.447,0.0,0.0,1.472,Spiky,146,111,-35
Social Network,7,Winter 2021,Fall 2025,5,Winter 2024,3,1.21,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.197,False,False,0.277,0.0,0.0,1.777,Low-volume / mixed,146,143,-3
Autonomous Trucking,2,Winter 2021,Winter 2021,1,Winter 2021,2,0.595,2021,2,0.275,0.595,Summer 2026,0,0.0,-2,-1.0,-0.275,0.0,0.037,False,False,0.297,0.0,0.0,3.873,Low-volume / mixed,146,143,-3
Autonomous Shipping,1,Spring 2025,Spring 2025,1,Spring 2025,1,0.699,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.044,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Autonomous Delivery,2,Winter 2021,Summer 2021,2,Winter 2021,1,0.298,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.035,False,False,0.277,0.0,0.0,2.654,Low-volume / mixed,146,143,-3
Banking as a Service,12,Winter 2021,Summer 2023,5,Winter 2022,6,1.508,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.229,False,True,0.425,0.0,0.0,1.821,Low-volume / mixed,146,111,-35
Search,18,Summer 2021,Summer 2025,8,Winter 2024,5,2.016,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.495,True,True,0.128,0.0,0.128,1.25,Spiky,146,185,39
Assistive Tech,1,Summer 2021,Summer 2021,1,Summer 2021,1,0.256,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.016,False,False,0.128,0.0,0.0,3.873,Low-volume / mixed,146,185,39
Augmented Reality,5,Winter 2021,Winter 2025,5,Winter 2025,1,0.602,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.124,False,False,0.277,0.0,0.0,1.579,Low-volume / mixed,146,143,-3
Auto Commerce,2,Summer 2021,Summer 2022,2,Summer 2022,1,0.427,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.043,False,False,0.128,0.0,0.0,2.739,Low-volume / mixed,146,185,39
Email,12,Winter 2021,Summer 2025,8,Summer 2025,2,1.205,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.34,False,False,0.425,0.0,0.128,1.184,Low-volume / mixed,146,111,-35
Electric Vehicles,12,Winter 2021,Winter 2025,5,Winter 2021,4,1.19,2021,5,0.688,1.19,Summer 2026,0,0.0,-4,-2.5,-0.688,0.0,0.236,False,False,0.723,0.0,0.0,1.669,Low-volume / mixed,146,75,-71
Beauty,4,Winter 2021,Fall 2025,3,Fall 2025,1,0.685,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.096,False,False,0.425,0.0,0.0,2.242,Low-volume / mixed,146,111,-35
Sleep Tech,3,Winter 2021,Summer 2021,2,Summer 2021,2,0.512,2021,3,0.413,0.298,Summer 2026,0,0.0,-1,-1.5,-0.413,0.0,0.051,False,False,0.405,0.0,0.0,2.749,Low-volume / mixed,146,111,-35
Anti-Aging,3,Winter 2021,Summer 2021,2,Winter 2021,2,0.595,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.053,False,False,0.425,0.0,0.0,2.876,Low-volume / mixed,146,111,-35
Airplanes,6,Winter 2021,Winter 2023,5,Summer 2022,2,0.855,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.127,False,False,0.277,0.0,0.0,1.794,Low-volume / mixed,146,143,-3
Advertising,23,Summer 2021,Spring 2026,11,Fall 2025,5,3.425,2021,2,0.275,0.0,Summer 2026,0,0.0,0,-1.0,-0.275,0.51,0.692,True,True,0.256,0.513,0.508,1.179,Spiky,146,143,-3
Art Trading Platforms,1,Summer 2021,Summer 2021,1,Summer 2021,1,0.256,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.016,False,False,0.128,0.0,0.0,3.873,Low-volume / mixed,146,185,39
Ghost Kitchens,7,Winter 2021,Summer 2022,3,Summer 2021,4,1.023,2021,6,0.825,0.595,Summer 2026,0,0.0,-2,-3.0,-0.825,0.0,0.128,False,False,0.809,0.0,0.0,2.249,Low-volume / mixed,146,65,-81
Genetic Engineering,3,Summer 2023,Spring 2026,3,Fall 2025,1,0.685,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.171,0.103,False,False,0.0,0.257,0.0,2.122,Low-volume / mixed,146,231,85
Gardening,1,Winter 2021,Winter 2021,1,Winter 2021,1,0.298,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.019,False,False,0.149,0.0,0.0,3.873,Low-volume / mixed,146,185,39
Gene Therapy,8,Winter 2021,Spring 2026,7,Winter 2025,1,0.602,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.171,0.193,False,False,0.149,0.257,0.0,1.18,Low-volume / mixed,146,185,39
Fusion Energy,2,Winter 2025,Fall 2025,2,Fall 2025,1,0.685,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.08,False,False,0.0,0.0,0.0,2.652,Low-volume / mixed,146,231,85
Fundraising,2,Winter 2023,Winter 2023,1,Winter 2023,2,0.73,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.046,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Fraud Detection,7,Summer 2021,Winter 2026,5,Summer 2022,2,0.855,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.168,0.172,True,False,0.128,0.0,0.0,1.643,Low-volume / mixed,146,185,39
Fraud Prevention,3,Summer 2022,Winter 2024,3,Summer 2023,1,0.455,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.08,False,False,0.0,0.0,0.0,2.085,Low-volume / mixed,146,231,85
Food & Beverage,10,Winter 2021,Fall 2026,7,Summer 2023,2,0.909,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.221,False,False,0.425,0.0,0.0,1.437,Low-volume / mixed,146,111,-35
Food Service Robots & Machines,3,Winter 2021,Summer 2021,2,Summer 2021,2,0.512,2021,3,0.413,0.298,Summer 2026,0,0.0,-1,-1.5,-0.413,0.0,0.051,False,False,0.405,0.0,0.0,2.749,Low-volume / mixed,146,111,-35
Food Tech,22,Winter 2021,Summer 2025,7,Winter 2022,7,1.759,2021,7,0.963,1.19,Summer 2026,0,0.0,-4,-3.5,-0.963,0.0,0.448,False,True,0.978,0.0,0.0,1.354,Low-volume / mixed,146,58,-88
Dating,1,Winter 2021,Winter 2021,1,Winter 2021,1,0.298,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.019,False,False,0.149,0.0,0.0,3.873,Low-volume / mixed,146,185,39
DeFi,10,Winter 2021,Summer 2022,4,Summer 2022,3,1.282,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.196,False,False,0.425,0.0,0.0,1.998,Low-volume / mixed,146,111,-35
Deepfake Detection,1,Winter 2022,Winter 2022,1,Winter 2022,1,0.251,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.016,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Delivery,22,Winter 2021,Fall 2024,7,Summer 2021,8,2.046,2021,12,1.651,1.19,Summer 2026,0,0.0,-4,-6.0,-1.651,0.0,0.452,False,True,1.618,0.0,0.0,1.368,Spiky,146,35,-111
Dental,4,Winter 2024,Summer 2025,4,Winter 2025,1,0.602,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.126,False,False,0.0,0.0,0.0,1.777,Low-volume / mixed,146,231,85
Crowdsourcing,2,Summer 2025,Spring 2026,2,Summer 2025,1,0.602,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.171,0.07,False,False,0.0,0.257,0.0,2.655,Low-volume / mixed,146,231,85
Cryptocurrency,10,Winter 2021,Winter 2026,6,Summer 2022,2,0.855,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.168,0.234,False,False,0.149,0.0,0.0,1.378,Low-volume / mixed,146,185,39
Cryptography,2,Winter 2022,Winter 2022,1,Winter 2022,2,0.503,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.031,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Culture,2,Winter 2021,Winter 2026,2,Winter 2026,1,0.503,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.168,0.05,False,False,0.149,0.0,0.0,2.743,Low-volume / mixed,146,185,39
DAO,2,Winter 2022,Winter 2022,1,Winter 2022,2,0.503,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.031,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Data Visualization,20,Winter 2021,Summer 2025,8,Winter 2024,5,2.016,2021,3,0.413,0.298,Summer 2026,0,0.0,-1,-1.5,-0.413,0.0,0.526,False,True,0.405,0.0,0.149,1.305,Spiky,146,111,-35
Cultured Meat,3,Winter 2021,Winter 2022,3,Winter 2021,1,0.298,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.05,False,False,0.277,0.0,0.0,2.09,Low-volume / mixed,146,143,-3
Energy Storage,8,Winter 2021,Spring 2025,5,Winter 2024,2,0.806,2021,2,0.275,0.595,Summer 2026,0,0.0,-2,-1.0,-0.275,0.0,0.185,False,False,0.297,0.0,0.0,1.553,Low-volume / mixed,146,143,-3
FinOps,26,Winter 2021,Winter 2026,10,Winter 2025,3,1.807,2021,9,1.238,0.893,Summer 2026,0,0.0,-3,-4.5,-1.238,0.168,0.61,False,False,1.214,0.0,0.594,0.96,Low-volume / mixed,146,46,-100
Femtech,4,Winter 2021,Summer 2022,3,Summer 2022,2,0.855,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.088,False,False,0.149,0.0,0.0,2.483,Low-volume / mixed,146,185,39
Feedback,5,Winter 2021,Summer 2024,3,Summer 2024,3,1.21,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.119,False,False,0.149,0.0,0.0,2.552,Low-volume / mixed,146,185,39
Fashion,2,Winter 2022,Winter 2023,2,Winter 2023,1,0.365,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.038,False,False,0.0,0.0,0.0,2.697,Low-volume / mixed,146,231,85
Emerging Markets,6,Winter 2021,Winter 2026,6,Winter 2025,1,0.602,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.168,0.161,False,False,0.149,0.0,0.0,1.344,Low-volume / mixed,146,185,39
Food,5,Winter 2021,Summer 2023,4,Winter 2021,2,0.595,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.097,False,False,0.425,0.0,0.0,1.884,Low-volume / mixed,146,111,-35
Fitness,10,Winter 2021,Fall 2024,5,Fall 2024,1,1.064,2021,5,0.688,0.595,Summer 2026,0,0.0,-2,-2.5,-0.688,0.0,0.248,False,False,0.681,0.0,0.0,1.523,Low-volume / mixed,146,75,-71
Conversational Banking,1,Summer 2023,Summer 2023,1,Summer 2023,1,0.455,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.028,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Drug Delivery,3,Summer 2022,Summer 2025,3,Summer 2025,1,0.602,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.093,False,False,0.0,0.0,0.0,2.112,Low-volume / mixed,146,231,85
Documents,22,Winter 2021,Fall 2026,11,Winter 2023,4,1.46,2021,4,0.55,0.893,Summer 2026,0,0.0,-3,-2.0,-0.55,0.0,0.592,False,False,0.575,0.0,0.356,0.972,Low-volume / mixed,146,97,-49
DevSecOps,14,Winter 2021,Spring 2026,9,Summer 2022,2,0.855,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.171,0.341,False,False,0.425,0.257,0.356,0.958,Low-volume / mixed,146,111,-35
Diagnostics,13,Winter 2021,Summer 2024,7,Summer 2022,2,0.855,2021,5,0.688,0.595,Summer 2026,0,0.0,-2,-2.5,-0.688,0.0,0.272,False,False,0.681,0.0,0.0,1.213,Low-volume / mixed,146,75,-71
Edtech,14,Winter 2021,Spring 2025,8,Winter 2025,2,1.205,2021,4,0.55,1.19,Summer 2026,0,0.0,-4,-2.0,-0.55,0.0,0.364,False,False,0.595,0.0,0.126,1.202,Low-volume / mixed,146,97,-49
E-Commerce,3,Winter 2021,Winter 2022,3,Winter 2021,1,0.298,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.05,False,False,0.277,0.0,0.0,2.09,Low-volume / mixed,146,143,-3
Mental Health Tech,19,Winter 2021,Winter 2023,5,Summer 2021,7,1.79,2021,10,1.376,0.893,Summer 2026,0,0.0,-3,-5.0,-1.376,0.0,0.334,False,True,1.341,0.0,0.0,1.706,Low-volume / mixed,146,42,-104
Medical Robotics,3,Summer 2021,Summer 2023,3,Summer 2023,1,0.455,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.071,False,False,0.128,0.0,0.0,2.149,Low-volume / mixed,146,185,39
Media,17,Winter 2021,Fall 2025,10,Fall 2024,2,2.128,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.512,False,False,0.425,0.0,0.33,1.187,Spiky,146,111,-35
Maritime,3,Winter 2021,Summer 2025,2,Summer 2025,1,0.602,2021,2,0.275,0.595,Summer 2026,0,0.0,-2,-1.0,-0.275,0.0,0.075,False,False,0.297,0.0,0.0,2.646,Low-volume / mixed,146,143,-3
Livestock Health,1,Summer 2025,Summer 2025,1,Summer 2025,1,0.602,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.038,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Live,2,Winter 2021,Fall 2024,2,Fall 2024,1,1.064,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.085,False,False,0.149,0.0,0.0,3.087,Low-volume / mixed,146,185,39
Kubernetes,7,Winter 2021,Spring 2026,6,Spring 2026,1,0.513,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.171,0.16,False,False,0.149,0.257,0.0,1.323,Low-volume / mixed,146,185,39
Metaverse,2,Winter 2022,Summer 2022,2,Summer 2022,1,0.427,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.042,False,False,0.0,0.0,0.0,2.746,Low-volume / mixed,146,231,85
Immigration,3,Summer 2024,Fall 2025,3,Fall 2025,1,0.685,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.106,False,False,0.0,0.0,0.0,2.137,Low-volume / mixed,146,231,85
Hydrogen Energy,4,Winter 2022,Summer 2023,3,Winter 2022,2,0.503,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.083,False,False,0.0,0.0,0.0,2.103,Low-volume / mixed,146,231,85
Investments,7,Summer 2021,Spring 2026,6,Fall 2025,1,0.685,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.171,0.17,True,False,0.128,0.257,0.0,1.379,Low-volume / mixed,146,185,39
International,4,Summer 2021,Fall 2024,4,Fall 2024,1,1.064,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.133,False,False,0.128,0.0,0.0,2.095,Low-volume / mixed,146,185,39
Industrial Workplace Safety,1,Summer 2021,Summer 2021,1,Summer 2021,1,0.256,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.016,False,False,0.128,0.0,0.0,3.873,Low-volume / mixed,146,185,39
India,8,Winter 2021,Summer 2023,3,Winter 2022,4,1.005,2021,3,0.413,0.893,Summer 2026,0,0.0,-3,-1.5,-0.413,0.0,0.147,False,False,0.447,0.0,0.0,2.196,Low-volume / mixed,146,111,-35
Income Share Agreements,2,Winter 2021,Summer 2021,2,Winter 2021,1,0.298,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.035,False,False,0.277,0.0,0.0,2.654,Low-volume / mixed,146,143,-3
IoT,7,Winter 2021,Fall 2026,4,Winter 2021,3,0.893,2021,4,0.55,0.893,Summer 2026,0,0.0,-3,-2.0,-0.55,0.0,0.103,False,False,0.575,0.0,0.0,2.354,Low-volume / mixed,146,97,-49
Kids,2,Winter 2021,Summer 2021,2,Winter 2021,1,0.298,2021,2,0.275,0.298,Summer 2026,0,0.0,-1,-1.0,-0.275,0.0,0.035,False,False,0.277,0.0,0.0,2.654,Low-volume / mixed,146,143,-3
IoT Security,1,Summer 2025,Summer 2025,1,Summer 2025,1,0.602,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.038,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Lidar,1,Summer 2024,Summer 2024,1,Summer 2024,1,0.403,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.025,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Lending,15,Winter 2021,Winter 2026,8,Winter 2021,3,0.893,2021,6,0.825,0.893,Summer 2026,0,0.0,-3,-3.0,-0.825,0.168,0.322,False,False,0.83,0.0,0.202,1.07,Low-volume / mixed,146,65,-81
Latin America,8,Winter 2021,Winter 2024,5,Winter 2021,3,0.893,2021,4,0.55,0.893,Summer 2026,0,0.0,-3,-2.0,-0.55,0.0,0.179,False,False,0.575,0.0,0.0,1.684,Low-volume / mixed,146,97,-49
Identity,12,Winter 2021,Winter 2026,6,Summer 2022,4,1.709,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.168,0.264,False,False,0.425,0.0,0.0,1.699,Low-volume / mixed,146,111,-35
GraphQL,1,Winter 2023,Winter 2023,1,Winter 2023,1,0.365,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.023,False,False,0.0,0.0,0.0,3.873,Low-volume / mixed,146,231,85
Grocery,15,Winter 2021,Spring 2025,7,Summer 2021,5,1.279,2021,9,1.238,1.19,Summer 2026,0,0.0,-4,-4.5,-1.238,0.0,0.32,False,True,1.234,0.0,0.0,1.377,Low-volume / mixed,146,46,-100
Home Automation,2,Summer 2023,Fall 2025,2,Fall 2025,1,0.685,2021,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,0.0,0.071,False,False,0.0,0.0,0.0,2.707,Low-volume / mixed,146,231,85
Human Resources,12,Winter 2021,Fall 2026,7,Winter 2021,3,0.893,2021,4,0.55,0.893,Summer 2026,0,0.0,-3,-2.0,-0.55,0.171,0.239,False,False,0.575,0.257,0.0,1.42,Low-volume / mixed,146,97,-49
