tag,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
E-commerce,108,Winter 2021,Summer 2026,14,Summer 2021,25,6.394,2021,44,6.052,5.655,Summer 2026,2,0.851,-17,-20.0,-5.201,0.626,2.328,False,True,6.024,0.939,1.63,0.872,Declining,64,8,-56
Digital Health,77,Winter 2021,Summer 2026,15,Winter 2022,14,3.518,2021,21,2.889,2.976,Summer 2026,2,0.851,-8,-8.5,-2.038,0.622,1.937,False,True,2.894,0.682,2.487,0.599,Declining,64,16,-48
DevOps,30,Summer 2021,Fall 2026,13,Fall 2024,3,3.191,2021,3,0.413,0.0,Summer 2026,2,0.851,2,0.5,0.438,0.284,0.874,True,False,0.384,0.425,0.733,0.927,Spiky,64,111,47
Design,21,Winter 2021,Summer 2026,11,Fall 2025,4,2.74,2021,2,0.275,0.298,Summer 2026,2,0.851,1,1.0,0.576,0.284,0.75,False,False,0.277,0.425,0.351,1.116,Spiky,64,143,79
Procurement,10,Winter 2021,Summer 2026,8,Fall 2024,1,1.064,2021,3,0.413,0.595,Summer 2026,2,0.851,0,0.5,0.438,0.284,0.289,False,False,0.425,0.425,0.128,1.169,Low-volume / mixed,64,111,47
ClimateTech,23,Winter 2021,Summer 2026,10,Winter 2023,4,1.46,2021,5,0.688,0.595,Summer 2026,2,0.851,0,-0.5,0.163,0.284,0.538,False,False,0.681,0.425,0.599,0.881,Low-volume / mixed,64,75,11
Sales Enablement,33,Winter 2021,Summer 2026,13,Winter 2025,4,2.41,2021,5,0.688,0.298,Summer 2026,2,0.851,1,-0.5,0.163,0.455,0.849,False,False,0.66,0.682,0.88,0.751,Low-volume / mixed,64,75,11
Restaurant Tech,9,Winter 2021,Summer 2026,8,Summer 2026,2,0.851,2021,2,0.275,0.298,Summer 2026,2,0.851,1,1.0,0.576,0.284,0.245,False,False,0.277,0.425,0.128,1.145,Low-volume / mixed,64,143,79
Renewable Energy,13,Winter 2021,Summer 2026,11,Summer 2026,2,0.851,2021,2,0.275,0.298,Summer 2026,2,0.851,1,1.0,0.576,0.451,0.324,False,False,0.277,0.425,0.351,0.82,Low-volume / mixed,64,143,79
Recruiting,32,Winter 2021,Fall 2026,13,Winter 2021,7,2.083,2021,13,1.788,2.083,Summer 2026,2,0.851,-5,-4.5,-0.937,0.455,0.792,False,True,1.809,0.682,0.746,0.797,Low-volume / mixed,64,32,-32
Biotechnology,11,Summer 2021,Summer 2026,9,Summer 2026,2,0.851,2021,2,0.275,0.0,Summer 2026,2,0.851,2,1.0,0.576,0.451,0.302,True,False,0.256,0.425,0.327,0.971,Low-volume / mixed,64,143,79
Oncology,15,Winter 2021,Summer 2026,8,Winter 2024,4,1.613,2021,2,0.275,0.298,Summer 2026,2,0.851,1,1.0,0.576,0.284,0.355,False,False,0.277,0.425,0.126,1.383,Low-volume / mixed,64,143,79
Monitoring,11,Winter 2021,Summer 2026,8,Summer 2026,2,0.851,2021,1,0.138,0.298,Summer 2026,2,0.851,1,1.5,0.713,0.284,0.308,False,False,0.149,0.425,0.149,1.091,Low-volume / mixed,64,185,121
Marketing,76,Winter 2021,Summer 2026,16,Summer 2023,10,4.545,2021,8,1.1,1.19,Summer 2026,2,0.851,-2,-2.0,-0.249,0.961,2.087,False,True,1.107,0.939,2.072,0.485,Low-volume / mixed,64,51,-13
Legal,31,Winter 2021,Fall 2026,13,Winter 2025,5,3.012,2021,2,0.275,0.595,Summer 2026,2,0.851,0,1.0,0.576,0.284,0.929,False,True,0.297,0.425,0.723,0.917,Spiky,64,143,79
ML,18,Summer 2021,Summer 2026,10,Spring 2025,3,2.098,2021,2,0.275,0.0,Summer 2026,2,0.851,2,1.0,0.576,0.622,0.499,True,False,0.256,0.682,0.465,1.124,Spiky,64,143,79
Healthcare IT,33,Winter 2021,Summer 2026,15,Summer 2023,9,4.091,2021,5,0.688,1.19,Summer 2026,2,0.851,-2,-0.5,0.163,0.455,1.002,False,True,0.723,0.682,0.775,0.946,Spiky,64,75,11
Health Insurance,18,Winter 2021,Summer 2026,9,Summer 2023,5,2.273,2021,4,0.55,0.298,Summer 2026,2,0.851,1,0.0,0.301,0.284,0.481,False,True,0.532,0.425,0.351,1.269,Spiky,64,97,33
Time Series,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Exascale Computing,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Telehealth,19,Winter 2021,Summer 2026,10,Summer 2022,3,1.282,2021,7,0.963,0.595,Summer 2026,1,0.426,-1,-2.5,-0.537,0.142,0.434,False,False,0.937,0.213,0.414,0.969,Low-volume / mixed,96,58,-38
Therapeutics,31,Winter 2021,Summer 2026,11,Summer 2022,7,2.991,2021,7,0.963,0.298,Summer 2026,1,0.426,0,-2.5,-0.537,0.313,0.711,False,True,0.916,0.47,0.484,1.143,Spiky,96,58,-38
Consumer Products,8,Summer 2021,Summer 2026,7,Spring 2025,1,0.699,2021,2,0.275,0.0,Summer 2026,1,0.426,1,0.0,0.151,0.142,0.221,True,False,0.256,0.213,0.0,1.226,Low-volume / mixed,96,143,47
Edge Computing Semiconductors,3,Summer 2024,Summer 2026,3,Summer 2025,1,0.602,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.089,False,False,0.0,0.213,0.0,2.126,Low-volume / mixed,96,231,135
Telecommunications,16,Winter 2021,Summer 2026,10,Winter 2024,3,1.21,2021,5,0.688,0.893,Summer 2026,1,0.426,-2,-1.5,-0.262,0.313,0.442,False,False,0.703,0.47,0.426,0.972,Low-volume / mixed,96,75,-21
Self-Driving Vehicles,2,Winter 2021,Summer 2026,2,Summer 2026,1,0.426,2021,1,0.138,0.298,Summer 2026,1,0.426,0,0.5,0.288,0.142,0.045,False,False,0.149,0.213,0.0,2.693,Low-volume / mixed,96,185,89
Genomics,7,Summer 2021,Summer 2026,4,Summer 2021,3,0.767,2021,3,0.413,0.0,Summer 2026,1,0.426,1,-0.5,0.013,0.142,0.149,True,False,0.384,0.213,0.0,1.792,Low-volume / mixed,96,111,15
Digital Freight Brokerage,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
Customer Success,24,Winter 2021,Summer 2026,11,Winter 2023,7,2.555,2021,4,0.55,0.595,Summer 2026,1,0.426,-1,-1.0,-0.124,0.142,0.637,False,True,0.553,0.213,0.47,1.117,Spiky,96,97,1
Customer Support,27,Winter 2021,Summer 2026,11,Winter 2023,7,2.555,2021,2,0.275,0.595,Summer 2026,1,0.426,-1,0.0,0.151,0.142,0.728,False,True,0.297,0.213,0.726,0.938,Spiky,96,143,47
Geographic Information System,5,Summer 2021,Summer 2026,4,Summer 2025,1,0.602,2021,2,0.275,0.0,Summer 2026,1,0.426,1,0.0,0.151,0.142,0.123,True,False,0.256,0.213,0.0,1.757,Low-volume / mixed,96,143,47
Design Tools,30,Winter 2021,Summer 2026,13,Fall 2024,3,3.191,2021,9,1.238,2.083,Summer 2026,1,0.426,-6,-3.5,-0.812,0.142,0.864,False,False,1.298,0.213,0.65,0.936,Spiky,96,46,-50
Customer Service,14,Winter 2021,Summer 2026,10,Fall 2024,1,1.064,2021,2,0.275,0.595,Summer 2026,1,0.426,-1,0.0,0.151,0.142,0.387,False,False,0.297,0.213,0.441,0.869,Low-volume / mixed,96,143,47
Databases,18,Winter 2021,Summer 2026,10,Summer 2023,5,2.273,2021,2,0.275,0.298,Summer 2026,1,0.426,0,0.0,0.151,0.142,0.527,False,True,0.277,0.213,0.277,1.223,Spiky,96,143,47
eLearning,32,Winter 2021,Summer 2026,10,Winter 2021,12,3.571,2021,20,2.751,3.571,Summer 2026,1,0.426,-11,-9.0,-2.325,0.142,0.642,False,True,2.808,0.213,0.426,1.424,Declining,96,19,-77
Satellites,19,Winter 2021,Fall 2026,11,Fall 2025,2,1.37,2021,5,0.688,1.19,Summer 2026,1,0.426,-3,-1.5,-0.262,0.142,0.43,False,False,0.723,0.213,0.384,1.013,Low-volume / mixed,96,75,-21
HR Tech,44,Winter 2021,Fall 2026,14,Summer 2023,4,1.818,2021,12,1.651,1.488,Summer 2026,1,0.426,-4,-5.0,-1.225,0.313,1.033,False,False,1.639,0.47,1.137,0.649,Low-volume / mixed,96,35,-61
Mental Health,4,Summer 2021,Summer 2026,3,Summer 2025,1,0.602,2021,2,0.275,0.0,Summer 2026,1,0.426,1,0.0,0.151,0.142,0.096,False,False,0.256,0.213,0.0,2.107,Low-volume / mixed,96,143,47
Operations,36,Winter 2021,Summer 2026,15,Summer 2024,7,2.823,2021,5,0.688,0.595,Summer 2026,1,0.426,-1,-1.5,-0.262,0.645,1.04,False,True,0.681,0.213,0.684,0.721,Spiky,96,75,-21
Housing,7,Winter 2021,Summer 2026,6,Winter 2025,1,0.602,2021,3,0.413,0.595,Summer 2026,1,0.426,-1,-0.5,0.013,0.142,0.169,False,False,0.425,0.213,0.0,1.361,Low-volume / mixed,96,111,15
Neurotechnology,9,Winter 2021,Summer 2026,6,Winter 2022,3,0.754,2021,3,0.413,0.595,Summer 2026,1,0.426,-1,-0.5,0.013,0.142,0.19,False,False,0.425,0.213,0.0,1.393,Low-volume / mixed,96,111,15
Careers,2,Summer 2022,Summer 2026,2,Summer 2022,1,0.427,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.053,False,False,0.0,0.213,0.0,2.646,Low-volume / mixed,96,231,135
Regtech,17,Summer 2021,Summer 2026,11,Fall 2024,1,1.064,2021,2,0.275,0.0,Summer 2026,1,0.426,1,0.0,0.151,0.31,0.448,True,False,0.256,0.213,0.465,0.784,Low-volume / mixed,96,143,47
eSports,1,Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2021,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.027,False,False,0.0,0.213,0.0,3.873,Low-volume / mixed,96,231,135
SMB,9,Winter 2021,Summer 2026,7,Winter 2024,3,1.21,2021,1,0.138,0.298,Summer 2026,1,0.426,0,0.5,0.288,0.142,0.231,False,False,0.149,0.213,0.0,1.436,Low-volume / mixed,96,185,89
Retail,21,Winter 2021,Summer 2026,10,Winter 2023,5,1.825,2021,4,0.55,0.298,Summer 2026,1,0.426,0,-1.0,-0.124,0.142,0.525,False,True,0.532,0.213,0.351,1.088,Low-volume / mixed,96,97,1
Climate,81,Winter 2021,Summer 2026,9,Winter 2022,20,5.025,2021,32,4.402,3.869,Summer 2026,1,0.426,-12,-15.0,-3.976,0.142,1.599,False,True,4.364,0.213,0.616,1.13,Declining,96,10,-86
