subindustry,total_companies,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Healthcare -> Healthcare Services,33,Winter 2021,Summer 2026,13,Spring 2026,4,2.051,2021,6,0.825,0.893,Summer 2026,2,0.851,-1,-1.0,0.026,1.302,0.807,False,False,0.83,1.451,0.748,0.77,Low-volume / mixed,23,39,16
Healthcare -> Consumer Health and Wellness,56,Winter 2021,Summer 2026,15,Summer 2021,16,4.092,2021,24,3.301,2.381,Summer 2026,2,0.851,-6,-10.0,-2.45,0.793,1.302,False,True,3.236,0.939,1.137,0.75,Declining,23,8,-15
Government,23,Winter 2021,Fall 2026,14,Winter 2025,4,2.41,2021,2,0.275,0.298,Summer 2026,2,0.851,1,1.0,0.576,0.455,0.712,False,False,0.277,0.682,0.458,0.937,Spiky,23,48,25
Industrials -> Climate,32,Winter 2021,Summer 2026,9,Winter 2022,10,2.513,2021,8,1.1,0.893,Summer 2026,2,0.851,-1,-2.0,-0.249,0.451,0.684,False,True,1.086,0.425,0.479,1.162,Spiky,23,32,9
Fintech -> Banking and Exchange,31,Winter 2021,Summer 2026,12,Winter 2021,8,2.381,2021,13,1.788,2.381,Summer 2026,1,0.426,-7,-5.5,-1.362,0.648,0.736,False,True,1.83,0.47,0.621,0.87,Spiky,30,22,-8
Healthcare -> Healthcare IT,83,Winter 2021,Summer 2026,16,Summer 2023,9,4.091,2021,16,2.201,3.869,Summer 2026,1,0.426,-12,-7.0,-1.775,0.983,2.283,False,True,2.318,0.47,2.3,0.485,Low-volume / mixed,30,18,-12
Healthcare -> Therapeutics,34,Winter 2021,Summer 2026,11,Winter 2024,6,2.419,2021,12,1.651,1.786,Summer 2026,1,0.426,-5,-5.0,-1.225,0.313,0.784,False,True,1.66,0.47,0.557,0.995,Spiky,30,25,-5
Industrials -> Agriculture,10,Summer 2021,Summer 2026,7,Winter 2025,2,1.205,2021,2,0.275,0.0,Summer 2026,1,0.426,1,0.0,0.151,0.31,0.276,True,False,0.256,0.213,0.0,1.342,Low-volume / mixed,30,48,18
Education,59,Winter 2021,Summer 2026,13,Winter 2021,13,3.869,2021,28,3.851,3.869,Summer 2026,1,0.426,-12,-13.0,-3.425,0.142,1.376,False,True,3.853,0.213,1.15,0.9,Declining,30,3,-27
B2B -> Recruiting and Talent,26,Winter 2021,Summer 2026,11,Winter 2025,5,3.012,2021,8,1.1,1.786,Summer 2026,1,0.426,-5,-3.0,-0.674,0.822,0.719,False,True,1.149,0.982,0.503,1.107,Spiky,30,32,2
B2B -> Legal,47,Winter 2021,Fall 2026,17,Winter 2026,6,3.015,2021,4,0.55,0.595,Summer 2026,1,0.426,-1,-1.0,-0.124,1.489,1.438,False,True,0.553,0.726,1.208,0.594,Low-volume / mixed,30,41,11
B2B -> Retail,41,Winter 2021,Summer 2026,14,Winter 2021,9,2.679,2021,14,1.926,2.679,Summer 2026,1,0.426,-8,-6.0,-1.5,0.313,1.007,False,True,1.979,0.47,0.875,0.757,Spiky,30,20,-10
Consumer -> Job and Career Services,7,Winter 2021,Summer 2026,5,Winter 2021,3,0.893,2021,3,0.413,0.893,Summer 2026,1,0.426,-2,-0.5,0.013,0.313,0.166,False,False,0.447,0.47,0.0,1.607,Low-volume / mixed,30,43,13
B2B -> Marketing,80,Winter 2021,Summer 2026,16,Fall 2025,7,4.795,2021,20,2.751,2.381,Summer 2026,1,0.426,-7,-9.0,-2.325,1.677,2.077,False,True,2.725,2.264,1.821,0.605,Low-volume / mixed,30,12,-18
Fintech -> Consumer Finance,45,Winter 2021,Summer 2026,15,Winter 2021,7,2.083,2021,15,2.063,2.083,Summer 2026,1,0.426,-6,-6.5,-1.637,0.99,1.121,False,True,2.064,0.982,1.135,0.542,Low-volume / mixed,30,19,-11
B2B -> Human Resources,41,Winter 2021,Fall 2026,12,Summer 2021,14,3.581,2021,18,2.476,1.19,Summer 2026,0,0.0,-4,-9.0,-2.476,0.0,0.816,False,True,2.385,0.0,0.528,1.177,Declining,41,15,-26
B2B -> Office Management,3,Summer 2021,Summer 2024,3,Summer 2024,1,0.403,2021,1,0.138,0.0,Summer 2026,0,0.0,0,-0.5,-0.138,0.0,0.064,False,False,0.128,0.0,0.0,2.124,Low-volume / mixed,41,51,10
Consumer -> Transportation Services,3,Winter 2021,Summer 2024,3,Summer 2022,1,0.427,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.0,0.071,False,False,0.149,0.0,0.0,2.11,Low-volume / mixed,41,51,10
Consumer -> Social,11,Winter 2021,Fall 2025,7,Fall 2024,1,1.064,2021,3,0.413,0.595,Summer 2026,0,0.0,-2,-1.5,-0.413,0.0,0.298,False,False,0.425,0.0,0.0,1.241,Low-volume / mixed,41,43,2
Consumer -> Home and Personal,13,Winter 2021,Winter 2023,4,Winter 2021,7,2.083,2021,10,1.376,2.083,Summer 2026,0,0.0,-7,-5.0,-1.376,0.0,0.239,False,True,1.425,0.0,0.0,2.241,Spiky,41,28,-13
Consumer -> Food and Beverage,32,Winter 2021,Fall 2026,7,Winter 2021,9,2.679,2021,19,2.613,2.679,Summer 2026,0,0.0,-9,-9.5,-2.613,0.0,0.591,False,True,2.619,0.0,0.0,1.619,Declining,41,13,-28
Consumer -> Consumer Electronics,15,Winter 2021,Fall 2026,10,Fall 2024,1,1.064,2021,1,0.138,0.298,Summer 2026,0,0.0,-1,-0.5,-0.138,0.677,0.418,False,False,0.149,0.513,0.4,0.985,Low-volume / mixed,41,51,10
Consumer -> Apparel and Cosmetics,9,Winter 2021,Winter 2025,6,Winter 2021,3,0.893,2021,4,0.55,0.893,Summer 2026,0,0.0,-3,-2.0,-0.55,0.0,0.201,False,False,0.575,0.0,0.0,1.522,Low-volume / mixed,41,41,0
