company_id,company_slug,batch,batch_code,year,tag
22708,flux-auto,Winter 2021,W21,2021,Autonomous Trucking
22708,flux-auto,Winter 2021,W21,2021,Hard Tech
22708,flux-auto,Winter 2021,W21,2021,Robotics
22708,flux-auto,Winter 2021,W21,2021,AI
23511,forcyte-biotechnologies,Winter 2021,W21,2021,Drug discovery
23328,compound-writing,Winter 2021,W21,2021,Productivity
22714,fountain9,Winter 2021,W21,2021,Artificial Intelligence
22714,fountain9,Winter 2021,W21,2021,Warehouse Management Tech
22714,fountain9,Winter 2021,W21,2021,E-commerce
22714,fountain9,Winter 2021,W21,2021,Supply Chain
22714,fountain9,Winter 2021,W21,2021,Retail
22751,fractional,Winter 2021,W21,2021,Fintech
22751,fractional,Winter 2021,W21,2021,Real Estate
22751,fractional,Winter 2021,W21,2021,Community
23415,friz,Winter 2021,W21,2021,Developer Tools
23415,friz,Winter 2021,W21,2021,SaaS
23415,friz,Winter 2021,W21,2021,Design Tools
23415,friz,Winter 2021,W21,2021,Social Media
23415,friz,Winter 2021,W21,2021,AI
22788,functionup-fanplay,Winter 2021,W21,2021,Education
22788,functionup-fanplay,Winter 2021,W21,2021,Income Share Agreements
22788,functionup-fanplay,Winter 2021,W21,2021,eLearning
23305,galaxy,Winter 2021,W21,2021,Developer Tools
23305,galaxy,Winter 2021,W21,2021,Gaming
22702,gerald-technologies-inc,Winter 2021,W21,2021,Fintech
22702,gerald-technologies-inc,Winter 2021,W21,2021,Payments
22702,gerald-technologies-inc,Winter 2021,W21,2021,Consumer
23389,gigs,Winter 2021,W21,2021,Fintech
23389,gigs,Winter 2021,W21,2021,HR Tech
23389,gigs,Winter 2021,W21,2021,API
23389,gigs,Winter 2021,W21,2021,AI
22673,gigs-live,Winter 2021,W21,2021,SaaS
22673,gigs-live,Winter 2021,W21,2021,Entertainment
22673,gigs-live,Winter 2021,W21,2021,Media
22888,gimbooks,Winter 2021,W21,2021,Fintech
22888,gimbooks,Winter 2021,W21,2021,SaaS
22888,gimbooks,Winter 2021,W21,2021,B2B
22712,gobuild-fka-brick,Winter 2021,W21,2021,Fintech
22712,gobuild-fka-brick,Winter 2021,W21,2021,Housing
22712,gobuild-fka-brick,Winter 2021,W21,2021,Proptech
22565,gonddo,Winter 2021,W21,2021,Marketplace
22777,gradia-health,Winter 2021,W21,2021,Consumer Health Services
22777,gradia-health,Winter 2021,W21,2021,Health Tech
22777,gradia-health,Winter 2021,W21,2021,Telehealth
22777,gradia-health,Winter 2021,W21,2021,Digital Health
22777,gradia-health,Winter 2021,W21,2021,Healthcare
23306,greaseboss,Winter 2021,W21,2021,Hardware
23306,greaseboss,Winter 2021,W21,2021,IoT
22947,great-question,Winter 2021,W21,2021,SaaS
22947,great-question,Winter 2021,W21,2021,B2B
22947,great-question,Winter 2021,W21,2021,Design Tools
22889,greywing,Winter 2021,W21,2021,Hard Tech
22889,greywing,Winter 2021,W21,2021,SaaS
22889,greywing,Winter 2021,W21,2021,Maritime
22789,gridware,Winter 2021,W21,2021,Hardware
22789,gridware,Winter 2021,W21,2021,Climate
22789,gridware,Winter 2021,W21,2021,Energy
22789,gridware,Winter 2021,W21,2021,Enterprise Software
22677,gromo,Winter 2021,W21,2021,Fintech
22677,gromo,Winter 2021,W21,2021,Insurance
23556,h3x-technologies,Winter 2021,W21,2021,Airplanes
23556,h3x-technologies,Winter 2021,W21,2021,Climate
23556,h3x-technologies,Winter 2021,W21,2021,Electric Vehicles
23453,hubuc,Winter 2021,W21,2021,Fintech
23453,hubuc,Winter 2021,W21,2021,Payments
23453,hubuc,Winter 2021,W21,2021,B2B
23453,hubuc,Winter 2021,W21,2021,API
23453,hubuc,Winter 2021,W21,2021,Infrastructure
22668,hapi,Winter 2021,W21,2021,Fintech
22668,hapi,Winter 2021,W21,2021,Finance
22668,hapi,Winter 2021,W21,2021,Consumer Finance
22668,hapi,Winter 2021,W21,2021,Trading
