city,batch,count,batch_order,total_companies,share_pct
"Fort Collins, USA",Winter 2021,1,20210,336,0.3
"Fort Lauderdale, USA",Summer 2018,1,20182,131,0.76
"Fort Worth, USA",Summer 2021,1,20212,391,0.26
"Fredericton, Canada",Winter 2022,1,20220,398,0.25
"Fresno, USA",Spring 2025,1,20251,143,0.7
"Frisco, USA",Summer 2018,1,20182,131,0.76
"Gainesville, USA",Summer 2012,1,20122,83,1.2
"Galway, Ireland",Summer 2021,1,20212,391,0.26
"Galway, Ireland",Summer 2022,1,20222,234,0.43
"George Town, Cayman Islands",Summer 2026,1,20262,235,0.43
"Ghent, Belgium",Winter 2025,1,20250,166,0.6
"Glasgow, United Kingdom",Winter 2021,1,20210,336,0.3
"Grand Rapids, USA",Summer 2022,1,20222,234,0.43
"Graz, Austria",Winter 2021,1,20210,336,0.3
"Guadalajara, Mexico",Summer 2016,1,20162,102,0.98
"Guadalajara, Mexico",Summer 2020,1,20202,209,0.48
"Guadalajara, Mexico",Winter 2022,1,20220,398,0.25
"Gurugram, India",Summer 2015,1,20152,104,0.96
"Gurugram, India",Winter 2016,1,20160,122,0.82
"Gurugram, India",Summer 2018,1,20182,131,0.76
"Gurugram, India",Winter 2019,1,20190,194,0.52
"Gurugram, India",Winter 2020,1,20200,228,0.44
"Gurugram, India",Summer 2020,2,20202,209,0.96
"Gurugram, India",Winter 2021,6,20210,336,1.79
"Gurugram, India",Summer 2021,3,20212,391,0.77
"Gurugram, India",Winter 2022,2,20220,398,0.5
"Gurugram, India",Summer 2022,1,20222,234,0.43
"Gurugram, India",Summer 2024,1,20242,248,0.4
"Gurugram, India",Summer 2026,1,20262,235,0.43
"Haifa, Israel",Winter 2023,1,20230,274,0.36
"Hamburg, Germany",Summer 2019,1,20192,176,0.57
"Hamilton, Bermuda",Winter 2016,1,20160,122,0.82
"Hamlin, USA",Summer 2012,1,20122,83,1.2
"Hanoi, Vietnam",Winter 2021,1,20210,336,0.3
"Hanoi, Vietnam",Winter 2022,1,20220,398,0.25
"Helsinki, Finland",Summer 2021,1,20212,391,0.26
"Helsinki, Finland",Winter 2022,1,20220,398,0.25
"Helsinki, Finland",Winter 2026,1,20260,199,0.5
"Helsinki, Finland",Summer 2026,1,20262,235,0.43
"Ho Chi Minh City, Vietnam",Winter 2021,1,20210,336,0.3
"Ho Chi Minh City, Vietnam",Summer 2021,1,20212,391,0.26
"Ho Chi Minh City, Vietnam",Winter 2022,3,20220,398,0.75
"Hong Kong, Hong Kong",Summer 2012,1,20122,83,1.2
"Hong Kong, Hong Kong",Winter 2015,1,20150,110,0.91
"Hong Kong, Hong Kong",Winter 2016,1,20160,122,0.82
"Hong Kong, Hong Kong",Winter 2021,1,20210,336,0.3
"Hong Kong, Hong Kong",Winter 2022,1,20220,398,0.25
"Hong Kong, Hong Kong",Fall 2024,1,20243,94,1.06
"Honolulu, USA",Winter 2013,1,20130,46,2.17
"Honolulu, USA",Summer 2021,2,20212,391,0.51
"Houston, USA",Winter 2017,1,20170,116,0.86
"Houston, USA",Summer 2018,2,20182,131,1.53
"Houston, USA",Winter 2019,1,20190,194,0.52
"Houston, USA",Winter 2020,1,20200,228,0.44
"Houston, USA",Summer 2020,1,20202,209,0.48
"Houston, USA",Winter 2021,1,20210,336,0.3
"Houston, USA",Summer 2021,2,20212,391,0.51
"Houston, USA",Winter 2022,5,20220,398,1.26
"Houston, USA",Summer 2022,1,20222,234,0.43
"Houston, USA",Spring 2025,1,20251,143,0.7
"Huntsville, USA",Winter 2018,1,20180,146,0.68
"Hyderabad, India",Winter 2016,1,20160,122,0.82
"Hyderabad, India",Winter 2019,1,20190,194,0.52
"Hyderabad, India",Summer 2019,2,20192,176,1.14
"Hyderabad, India",Winter 2020,1,20200,228,0.44
"Hyderabad, India",Winter 2021,3,20210,336,0.89
"Hyderabad, India",Summer 2021,2,20212,391,0.51
"Hyderabad, India",Winter 2022,1,20220,398,0.25
"Hyderabad, India",Summer 2022,2,20222,234,0.85
"Ibadan, Nigeria",Winter 2022,2,20220,398,0.5
"Idaho Falls, USA",Winter 2019,1,20190,194,0.52
"Ikeja, Nigeria",Winter 2024,1,20240,248,0.4
"India, ",Winter 2019,1,20190,194,0.52
"India, ",Summer 2021,1,20212,391,0.26
"Indianapolis, USA",Summer 2015,1,20152,104,0.96
"Irvine, USA",Summer 2020,1,20202,209,0.48
"Irvine, USA",Winter 2021,1,20210,336,0.3
"Irvine, USA",Spring 2026,1,20261,195,0.51
"Islamabad, Pakistan",Summer 2021,1,20212,391,0.26
"Islamabad, Pakistan",Winter 2022,1,20220,398,0.25
"Issaquah, USA",Summer 2022,1,20222,234,0.43
"Istanbul, Turkey",Summer 2018,1,20182,131,0.76
"Istanbul, Turkey",Summer 2022,1,20222,234,0.43
"Istanbul, Turkey",Summer 2024,1,20242,248,0.4
"Jacksonville, USA",Winter 2023,1,20230,274,0.36
"Jaco, Costa Rica",Summer 2026,1,20262,235,0.43
"Jakarta, Indonesia",Summer 2015,1,20152,104,0.96
"Jakarta, Indonesia",Summer 2017,1,20172,125,0.8
"Jakarta, Indonesia",Summer 2018,1,20182,131,0.76
"Jakarta, Indonesia",Winter 2019,1,20190,194,0.52
