batch,rank,subindustry,share_pct,count
Summer 2011,5,B2B -> Productivity,6.667,4
Summer 2011,6,Fintech -> Consumer Finance,6.667,4
Summer 2011,7,B2B -> Analytics,5.0,3
Summer 2011,8,Education,5.0,3
Summer 2011,9,B2B -> Sales,3.333,2
Summer 2011,10,Consumer -> Food and Beverage,3.333,2
Summer 2011,11,"B2B -> Engineering, Product and Design",3.333,2
Summer 2011,12,Consumer -> Transportation Services,3.333,2
Summer 2011,13,Healthcare -> Healthcare IT,3.333,2
Summer 2011,14,Consumer -> Gaming,3.333,2
Summer 2011,15,Consumer -> Content,3.333,2
Summer 2011,16,Real Estate and Construction -> Housing and Real Estate,3.333,2
Summer 2011,17,B2B -> Security,1.667,1
Summer 2011,18,Consumer -> Consumer Electronics,1.667,1
Summer 2011,19,B2B -> Recruiting and Talent,1.667,1
Summer 2011,20,B2B -> Legal,1.667,1
Winter 2012,1,"B2B -> Engineering, Product and Design",12.121,8
Winter 2012,2,B2B -> Productivity,9.091,6
Winter 2012,3,Consumer -> Home and Personal,7.576,5
Winter 2012,4,B2B -> Marketing,6.061,4
Winter 2012,5,Consumer -> Social,6.061,4
Winter 2012,6,Consumer -> Content,6.061,4
Winter 2012,7,B2B -> Infrastructure,6.061,4
Winter 2012,8,Fintech -> Payments,4.545,3
Winter 2012,9,B2B -> Recruiting and Talent,3.03,2
Winter 2012,10,Consumer -> Apparel and Cosmetics,3.03,2
Winter 2012,11,B2B -> Human Resources,3.03,2
Winter 2012,12,Consumer -> Transportation Services,3.03,2
Winter 2012,13,Real Estate and Construction -> Housing and Real Estate,3.03,2
Winter 2012,14,Education,3.03,2
Winter 2012,15,Consumer -> Gaming,3.03,2
Winter 2012,16,B2B,1.515,1
Winter 2012,17,B2B -> Analytics,1.515,1
Winter 2012,18,Consumer -> Food and Beverage,1.515,1
Winter 2012,19,B2B -> Operations,1.515,1
Winter 2012,20,Consumer -> Virtual and Augmented Reality,1.515,1
Summer 2012,1,"B2B -> Engineering, Product and Design",10.843,9
Summer 2012,2,B2B -> Productivity,8.434,7
Summer 2012,3,Consumer -> Content,8.434,7
Summer 2012,4,Consumer -> Home and Personal,7.229,6
Summer 2012,5,Education,6.024,5
Summer 2012,6,B2B -> Operations,4.819,4
Summer 2012,7,B2B -> Marketing,4.819,4
Summer 2012,8,Consumer -> Social,3.614,3
Summer 2012,9,B2B -> Sales,3.614,3
Summer 2012,10,B2B -> Analytics,3.614,3
Summer 2012,11,B2B,3.614,3
Summer 2012,12,B2B -> Infrastructure,3.614,3
Summer 2012,13,"Consumer -> Travel, Leisure and Tourism",2.41,2
Summer 2012,14,Consumer,2.41,2
Summer 2012,15,Consumer -> Food and Beverage,2.41,2
Summer 2012,16,Consumer -> Consumer Electronics,2.41,2
Summer 2012,17,B2B -> Recruiting and Talent,2.41,2
Summer 2012,18,B2B -> Supply Chain and Logistics,2.41,2
Summer 2012,19,B2B -> Human Resources,2.41,2
Summer 2012,20,Healthcare -> Healthcare IT,2.41,2
Winter 2013,1,B2B -> Infrastructure,10.87,5
Winter 2013,2,B2B -> Retail,10.87,5
Winter 2013,3,Consumer -> Home and Personal,8.696,4
Winter 2013,4,B2B -> Productivity,6.522,3
Winter 2013,5,Consumer -> Apparel and Cosmetics,6.522,3
Winter 2013,6,B2B -> Analytics,6.522,3
Winter 2013,7,Healthcare -> Healthcare Services,6.522,3
Winter 2013,8,"Consumer -> Travel, Leisure and Tourism",4.348,2
Winter 2013,9,"B2B -> Engineering, Product and Design",4.348,2
Winter 2013,10,Healthcare -> Healthcare IT,4.348,2
Winter 2013,11,B2B -> Human Resources,4.348,2
Winter 2013,12,Consumer -> Food and Beverage,2.174,1
Winter 2013,13,Consumer -> Transportation Services,2.174,1
Winter 2013,14,B2B -> Supply Chain and Logistics,2.174,1
Winter 2013,15,B2B -> Marketing,2.174,1
Winter 2013,16,B2B -> Recruiting and Talent,2.174,1
Winter 2013,17,Consumer -> Virtual and Augmented Reality,2.174,1
Winter 2013,18,B2B -> Operations,2.174,1
Winter 2013,19,B2B -> Finance and Accounting,2.174,1
Winter 2013,20,Fintech -> Asset Management,2.174,1
Summer 2013,1,"B2B -> Engineering, Product and Design",13.462,7
Summer 2013,2,Consumer -> Consumer Electronics,7.692,4
Summer 2013,3,B2B -> Retail,7.692,4
Summer 2013,4,Consumer -> Home and Personal,7.692,4
Summer 2013,5,B2B -> Marketing,5.769,3
Summer 2013,6,B2B -> Productivity,5.769,3
Summer 2013,7,Fintech -> Banking and Exchange,5.769,3
Summer 2013,8,Healthcare -> Consumer Health and Wellness,5.769,3
Summer 2013,9,B2B -> Infrastructure,3.846,2
Summer 2013,10,B2B -> Supply Chain and Logistics,3.846,2
Summer 2013,11,B2B -> Legal,3.846,2
Summer 2013,12,Consumer -> Apparel and Cosmetics,3.846,2
Summer 2013,13,Education,3.846,2
Summer 2013,14,Consumer -> Food and Beverage,3.846,2
Summer 2013,15,Consumer -> Social,1.923,1
Summer 2013,16,B2B,1.923,1
Summer 2013,17,B2B -> Human Resources,1.923,1
Summer 2013,18,B2B -> Recruiting and Talent,1.923,1
Summer 2013,19,Consumer -> Content,1.923,1
Summer 2013,20,Fintech,1.923,1
Winter 2014,1,"B2B -> Engineering, Product and Design",9.459,7
Winter 2014,2,B2B -> Office Management,6.757,5
Winter 2014,3,B2B -> Finance and Accounting,5.405,4
Winter 2014,4,B2B -> Marketing,5.405,4
Winter 2014,5,Consumer -> Home and Personal,5.405,4
Winter 2014,6,Consumer -> Consumer Electronics,5.405,4
Winter 2014,7,B2B -> Retail,5.405,4
Winter 2014,8,Unspecified,5.405,4
Winter 2014,9,B2B -> Sales,4.054,3
Winter 2014,10,Consumer -> Social,4.054,3
Winter 2014,11,B2B -> Productivity,4.054,3
Winter 2014,12,"Consumer -> Travel, Leisure and Tourism",2.703,2
Winter 2014,13,Consumer -> Apparel and Cosmetics,2.703,2
Winter 2014,14,Consumer,2.703,2
Winter 2014,15,B2B -> Supply Chain and Logistics,2.703,2
Winter 2014,16,Fintech -> Asset Management,2.703,2
Winter 2014,17,Healthcare,2.703,2
Winter 2014,18,Education,2.703,2
Winter 2014,19,B2B -> Infrastructure,2.703,2
Winter 2014,20,Real Estate and Construction -> Housing and Real Estate,2.703,2
Summer 2014,1,B2B -> Infrastructure,5.128,4
Summer 2014,2,B2B -> Marketing,5.128,4
Summer 2014,3,Consumer -> Home and Personal,5.128,4
Summer 2014,4,Consumer -> Food and Beverage,5.128,4
Summer 2014,5,Healthcare -> Healthcare IT,5.128,4
Summer 2014,6,B2B -> Office Management,3.846,3
Summer 2014,7,B2B -> Sales,3.846,3
Summer 2014,8,Consumer -> Transportation Services,3.846,3
Summer 2014,9,Fintech -> Payments,3.846,3
Summer 2014,10,Fintech -> Banking and Exchange,3.846,3
Summer 2014,11,"B2B -> Engineering, Product and Design",3.846,3
