tag,total_companies,batches_excluded_from_stats,first_observed_batch,latest_observed_batch,n_batches_present,peak_batch,peak_count,peak_share_pct,earliest_year,earliest_year_count,earliest_year_share_pct,earliest_batch_share_pct,latest_full_batch,latest_count,latest_share_pct,count_change,count_change_vs_earliest_year_avg,pp_change,rolling3_latest_share_pct,mean_share_full_batches_pct,newly_appearing,peaked_then_declined,early_share_pct,late_share_pct,median_share_pct,cv_share,emergence_class,rank_latest,rank_earliest_year,rank_change
Procurement,14,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,12,Fall 2024,1,1.064,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.484,0.233,True,False,0.0,0.425,0.0,1.433,Low-volume / mixed,64,6,-58
Recruiting,69,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Fall 2026,29,Summer 2017,6,4.8,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.713,1.174,True,True,1.591,0.768,0.853,0.934,Spiky,64,6,-58
Renewable Energy,19,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,16,Winter 2019,2,1.031,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.284,0.28,True,False,0.0,0.425,0.0,1.239,Low-volume / mixed,64,6,-58
ClimateTech,32,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2015,Summer 2026,19,Winter 2023,4,1.46,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.484,0.474,True,False,0.0,0.425,0.541,0.922,Low-volume / mixed,64,6,-58
Consumer Finance,34,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2018,Summer 2026,19,Fall 2025,3,2.055,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,1.37,0.473,True,False,0.0,1.453,0.415,1.132,Spiky,64,6,-58
Monitoring,15,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,12,Summer 2013,1,1.923,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.512,0.284,True,False,0.0,0.768,0.0,1.646,Low-volume / mixed,64,6,-58
Restaurant Tech,16,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,13,Summer 2013,1,1.923,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.713,0.291,True,False,0.0,0.768,0.0,1.726,Low-volume / mixed,64,6,-58
Creator Economy,37,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,20,Winter 2020,5,2.193,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.941,0.541,True,True,0.0,1.111,0.496,1.02,Spiky,64,6,-58
Synthetic Biology,33,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Summer 2026,15,Summer 2024,5,2.016,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.484,0.484,True,True,0.0,0.425,0.0,1.258,Spiky,64,6,-58
Marketing,110,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2007,Summer 2026,33,Winter 2012,3,4.545,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,2.229,1.864,True,False,3.939,2.138,1.911,0.726,Low-volume / mixed,64,6,-58
E-commerce,192,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,34,Summer 2020,14,6.699,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,1.37,3.036,True,True,0.834,1.453,2.667,0.642,Low-volume / mixed,64,6,-58
DevOps,51,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2008,Fall 2026,26,Summer 2013,2,3.846,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,1.142,0.992,True,False,1.591,1.111,0.857,0.957,Spiky,64,6,-58
Design,30,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2010,Summer 2026,19,Fall 2025,4,2.74,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,1.599,0.618,True,False,0.757,1.796,0.254,1.313,Spiky,64,6,-58
Biotechnology,17,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Summer 2026,15,Summer 2014,1,1.282,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.713,0.282,True,False,0.0,0.768,0.0,1.278,Low-volume / mixed,64,6,-58
Digital Health,116,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2013,Summer 2026,30,Winter 2022,14,3.518,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,1.197,1.849,True,True,0.0,1.796,2.058,0.599,Low-volume / mixed,64,6,-58
Healthcare IT,38,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Summer 2026,20,Summer 2023,9,4.091,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,1.142,0.612,True,True,0.0,1.111,0.403,1.355,Spiky,64,6,-58
Education,164,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,36,Summer 2013,4,7.692,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,1.315,3.225,True,False,4.848,0.768,2.949,0.604,Declining,64,6,-58
Legal,40,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Fall 2026,20,Summer 2013,2,3.846,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.969,0.764,True,False,0.834,1.453,0.509,1.226,Spiky,64,6,-58
Entertainment,52,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2011,Summer 2026,23,Summer 2012,2,2.41,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.74,0.852,True,False,0.0,1.111,0.829,0.901,Low-volume / mixed,64,6,-58
Space Exploration,20,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Fall 2026,14,Winter 2016,2,1.639,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.284,0.292,True,False,0.0,0.425,0.0,1.418,Low-volume / mixed,64,6,-58
Sales Enablement,40,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Summer 2026,19,Winter 2025,4,2.41,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.685,0.585,True,False,0.0,0.425,0.421,1.13,Spiky,64,6,-58
Health Insurance,28,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Summer 2026,17,Summer 2012,2,2.41,2005,0,0.0,0.0,Summer 2026,2,0.851,2,2.0,0.851,0.74,0.47,True,False,0.757,1.111,0.149,1.365,Spiky,64,6,-58
Architecture,5,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2022,Summer 2026,4,Fall 2025,2,1.37,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.599,0.077,True,False,0.0,0.898,0.0,3.343,Low-volume / mixed,96,6,-90
eSports,3,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2015,Summer 2026,3,Summer 2015,1,0.962,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.068,False,False,0.0,0.213,0.0,3.268,Low-volume / mixed,96,6,-90
Unmanned Vehicle,4,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,4,Winter 2016,1,0.82,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.066,False,False,0.0,0.213,0.0,2.796,Low-volume / mixed,96,6,-90
APIs,11,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Summer 2026,9,Winter 2014,2,2.703,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.194,True,False,0.0,0.555,0.0,2.581,Spiky,96,6,-90
Therapeutics,45,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,18,Summer 2022,7,2.991,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.587,True,True,0.0,0.213,0.362,1.287,Spiky,96,6,-90
Time Series,4,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2013,Summer 2026,4,Winter 2014,1,1.351,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.07,False,False,0.0,0.213,0.0,3.615,Low-volume / mixed,96,6,-90
Alternative Fuels,2,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2019,Summer 2026,2,Winter 2019,1,0.515,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.029,False,False,0.0,0.213,0.0,3.891,Low-volume / mixed,96,6,-90
Virtual Reality,14,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,8,Winter 2018,2,1.37,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.195,True,False,0.0,0.213,0.0,1.991,Low-volume / mixed,96,6,-90
Warehouse Management Tech,14,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,10,Summer 2018,2,1.527,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.192,True,False,0.0,0.213,0.0,1.763,Low-volume / mixed,96,6,-90
Climate,141,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2008,Summer 2026,24,Winter 2022,20,5.025,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,2.124,True,True,0.0,0.213,2.511,0.78,Low-volume / mixed,96,6,-90
Video,89,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2007,Summer 2026,30,Summer 2012,6,7.229,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,1.859,1.895,True,True,4.848,1.583,1.544,0.904,Declining,96,6,-90
Telecommunications,27,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Summer 2026,19,Winter 2017,2,1.724,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.518,True,False,1.591,0.213,0.426,1.096,Low-volume / mixed,96,6,-90
SMB,18,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2010,Summer 2026,16,Summer 2013,1,1.923,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.337,True,False,0.757,0.555,0.0,1.466,Low-volume / mixed,96,6,-90
Privacy,20,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Summer 2026,15,Summer 2016,2,1.961,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.408,True,False,0.757,0.213,0.0,1.327,Low-volume / mixed,96,6,-90
Telehealth,30,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Summer 2026,17,Summer 2020,3,1.435,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.463,True,False,0.0,0.555,0.384,1.095,Low-volume / mixed,96,6,-90
eLearning,52,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Summer 2026,23,Winter 2021,12,3.571,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.343,0.828,True,True,0.0,0.213,0.746,0.958,Spiky,96,6,-90
Airlines,5,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2009,Summer 2026,5,Fall 2024,1,1.064,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.091,True,False,0.0,0.213,0.0,2.877,Low-volume / mixed,96,6,-90
Travel,49,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2009,Summer 2026,26,Summer 2012,3,3.614,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.343,1.011,True,False,1.515,0.213,0.885,0.963,Spiky,96,6,-90
Edge Computing Semiconductors,4,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2019,Summer 2026,4,Summer 2025,1,0.602,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.343,0.062,False,False,0.0,0.213,0.0,2.691,Low-volume / mixed,96,6,-90
Neurotechnology,18,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2013,Summer 2026,13,Summer 2018,2,1.527,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.283,True,False,0.0,0.213,0.0,1.517,Low-volume / mixed,96,6,-90
Design Tools,57,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2010,Summer 2026,25,Winter 2018,6,4.11,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.799,0.99,True,True,0.0,0.898,0.78,0.99,Spiky,96,6,-90
Careers,5,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2017,Summer 2026,5,Summer 2017,1,0.8,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.089,True,False,0.0,0.213,0.0,2.415,Low-volume / mixed,96,6,-90
Customer Service,24,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,19,Summer 2017,2,1.6,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.343,0.411,True,False,0.757,0.213,0.414,1.116,Low-volume / mixed,96,6,-90
Customer Success,27,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2012,Summer 2026,14,Winter 2023,7,2.555,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.827,0.403,True,True,0.0,1.241,0.0,1.525,Spiky,96,6,-90
Customer Support,30,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2016,Summer 2026,13,Winter 2023,7,2.555,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.599,0.427,True,True,0.0,0.898,0.0,1.443,Spiky,96,6,-90
Databases,24,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,14,Summer 2011,2,3.333,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.398,True,False,1.667,0.555,0.0,1.89,Spiky,96,6,-90
Mental Health,9,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,7,Summer 2020,2,0.957,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.343,0.138,True,False,0.0,0.213,0.0,2.008,Low-volume / mixed,96,6,-90
Medical Devices,67,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2013,Summer 2026,20,Winter 2015,4,3.636,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.343,1.104,True,False,0.0,0.213,0.599,1.121,Spiky,96,6,-90
Retail,49,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2011,Summer 2026,24,Summer 2016,5,4.902,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.972,True,True,1.515,0.213,0.641,1.23,Spiky,96,6,-90
Consumer Products,12,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,11,Winter 2016,1,0.82,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.199,True,False,0.0,0.555,0.0,1.468,Low-volume / mixed,96,6,-90
Radar,3,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2017,Summer 2026,3,Summer 2017,1,0.8,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.056,False,False,0.0,0.213,0.0,3.221,Low-volume / mixed,96,6,-90
Operations,38,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,17,Summer 2024,7,2.823,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,1.028,0.523,True,True,0.0,1.241,0.213,1.375,Spiky,96,6,-90
Regtech,20,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2018,Summer 2026,14,Fall 2024,1,1.064,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.265,True,False,0.0,0.213,0.0,1.305,Low-volume / mixed,96,6,-90
Vaccines,1,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.013,False,False,0.0,0.213,0.0,5.568,Low-volume / mixed,96,6,-90
Compliance,74,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Summer 2026,25,Fall 2025,5,3.425,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,1.484,1.095,True,False,0.0,1.925,0.841,0.965,Spiky,96,6,-90
Location-based,3,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2011,Summer 2026,3,Summer 2011,1,1.667,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.089,False,False,0.834,0.213,0.0,3.591,Low-volume / mixed,96,6,-90
HR Tech,74,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2012,Fall 2026,29,Summer 2015,4,3.846,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,1.219,True,False,1.515,0.555,1.208,0.73,Spiky,96,6,-90
Housing,20,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Summer 2026,15,Winter 2019,3,1.546,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.364,True,False,0.0,0.213,0.0,1.266,Low-volume / mixed,96,6,-90
Electronics,12,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2007,Fall 2026,9,Winter 2025,4,2.41,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.157,True,False,0.0,0.213,0.0,2.815,Spiky,96,6,-90
Drug discovery,34,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Summer 2026,15,Summer 2019,4,2.273,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.488,True,False,0.0,0.555,0.0,1.299,Spiky,96,6,-90
Exascale Computing,1,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.013,False,False,0.0,0.213,0.0,5.568,Low-volume / mixed,96,6,-90
Digital Freight Brokerage,3,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2020,Summer 2026,2,Winter 2020,2,0.877,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.041,False,False,0.0,0.213,0.0,4.113,Low-volume / mixed,96,6,-90
Automotive,24,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2009,Summer 2026,17,Winter 2012,2,3.03,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.506,True,False,2.349,0.555,0.0,1.452,Spiky,96,6,-90
AR,7,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2016,Summer 2026,7,Summer 2016,1,0.98,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.137,True,False,0.0,0.213,0.0,2.025,Low-volume / mixed,96,6,-90
Genomics,28,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2014,Summer 2026,14,Winter 2019,5,2.577,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.37,0.512,True,True,0.0,0.555,0.0,1.37,Spiky,96,6,-90
Geographic Information System,6,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2019,Summer 2026,5,Summer 2025,1,0.602,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.343,0.078,True,False,0.0,0.213,0.0,2.348,Low-volume / mixed,96,6,-90
Smart Waste Management,1,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Summer 2026,Summer 2026,1,Summer 2026,1,0.426,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.013,False,False,0.0,0.213,0.0,5.568,Low-volume / mixed,96,6,-90
Self-Driving Vehicles,6,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2014,Summer 2026,6,Winter 2014,1,1.351,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.135,True,False,0.0,0.213,0.0,2.358,Low-volume / mixed,96,6,-90
Satellites,23,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2015,Fall 2026,15,Fall 2025,2,1.37,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.599,0.308,True,False,0.0,0.898,0.0,1.321,Low-volume / mixed,96,6,-90
Skincare,2,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2022,Summer 2026,2,Summer 2026,1,0.426,2005,0,0.0,0.0,Summer 2026,1,0.426,1,1.0,0.426,0.142,0.021,False,False,0.0,0.213,0.0,4.009,Low-volume / mixed,96,6,-90
Advertising,48,"Spring 2026,Summer 2005,Summer 2007,Summer 2008,Winter 2006,Winter 2007,Winter 2008,Winter 2009,Winter 2010,Winter 2026",Winter 2009,Spring 2026,25,Summer 2012,5,6.024,2005,0,0.0,0.0,Summer 2026,0,0.0,0,0.0,0.0,1.142,1.061,True,True,2.5,1.712,0.633,1.368,Spiky,146,6,-140
